sequence,label
hard rock hotel,0
people still hereee,0
like chipz song arabian nights,1
vid illegal cringe,0
two thousand sixty,1
shit crazy bro,0
late asf realizing drake music video,1
leaving comment month year someone likes get reminded songredheart,1
unbelievable video ever seen highest comments facescreaminginfear well done keep justin beiber,0
bro smilingfacewithsunglasses,1
song facevomitingfacevomitingfacevomitingfacevomitingfacevomiting got famous singing word describe much hate guy,0
anyone still listening song december two thousand twenty-two,1
india call nibba nibbis,1
listening masterpiece twelve year later smilingfacewithsunglasses,1
twelve years since song released still never gets old,1
good never gets old,1
remember dislikes went like lightsaber youtube deleted dislikes feature good times listening xd,1
lacking words explain good song one fav care old,1
part crowd loved hate song part crowd hates love nostalgia playlist go,1
realized drake music video loudlycryingfaceloudlycryingfaceloudlycryingface duo ong fire,0
bro unspeakable rizz skullskullskull,1
shit almost thirteen years ago yes song shit,0
children,1
look latina,1
justin love bey bey brazilsmilingfacewithheartsredheartbrazilbrazil,1
bharat india india se kon kon batana jarur jangadna karni facewithtearsofjoyfacewithtearsofjoy,1
justin bieber 16makes perfect song somebody sixteen test grade,1
best world,1
anyone two thousand twenty-two,1
bieber looks like ftom transgender,0
dude future,1
still favorite day,1
comment twelve years later,1
else noticed drake one hundred fifteen facewithtearsofjoy,0
rember used hear time seven,1
found comment legend,1
disliked thing platform,0
would kill see himhearthandshearthandshearthandshearthands,0
love muchhearthandshearthandshearthandshearthands,1
want,1
baby baby ohhhh,1
like baby baby ohhhhhh like baby baby ohhhhh like baby baby ohhhh,1
like baby baby ohhhhhhhhhhhhhhhhhhhh baby baby,1
baby baby like ohhhhhhh baby baby,1
want mush,0
ill buy anything ring,0
hello future two thousand twenty-two going two thousand twenty-three,1
baby baby oh oh baby baby oh oh like baby baby ohhh,1
one hundred fourteen started noticing drake hereskullskull,1
baby baby oh oh baby baby,1
love song smilingfacewithopenhandssmilingfacewithopenhandssmilingfacewithopenhandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthands smash pass smash hearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthandshearthands love much,1
bro video get new comment every five hrs twelve yrs old dang justin must slay,1
exciting know amazing song published day birthday year born19th february two thousand ten redheart moment twelve years oldand know think song represents mejaja honest never got boyfriend sense sorrybut spanish know english badbut practice,1
moonwalk toredheart,1
smilingfacewithhearts get house store always life good come adout fans dig fans life home family friendship,1
song fr defined early 2010s generation yoy around ages eight hundred thirteen song definitely bop,1
leaving comment month year someone likes get reminded song faceblowingakissredheart,1
message future generation please let song diefoldedhands,1
3rd december two thousand twenty-two let see many legends listening masterpiece far one popular ever even twelve yearsredheart,1
childhood songredheart,1
nais song,1
justin bieber crazy leave ser,0
technobalde never dies,1
came year two thousand twenty-two,1
hit 14m dislikes let us go,0
smilingcatwithhearteyes,0
facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy love song much,1
lgbtq pidr,1
many people watched todayskull,0
even two thousand twenty-two watching,1
thirteen first love nobody compared baby nobody came us could ever come going crazy oh starstruck woke daily need starbucks woo made heart pound skip beat see street school playground really want see weekend knows got dazin amazin heart breakin keep sayin baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine,1
indian pepole like,1
watching,1
ooooooo,1
else still watching masterpiece,1
justin bieber crownsparklescrown,1
vansh pal,1
know lyrics first favorite singer song want meet,1
hello ok hi,1
use much hated part childhood enjoyed hes songs young still love luda rap,1
let us continue video highest comented video ever,1
baby baby baby ohh,1
love youredheart,1
think edition video twelve years firefiresmilingfacewithhearteyes incredible,1
jb still owns world remember masterpiece,1
worst thing betrayal never comes enemy,0
kon kon ye song two thousand twenty-two sun rha haismilingfacesmilingfacesmilingfacesmilingface,1
time going fast hating song 12yrs,0
listened song since nine twenty-one time fly fast still loving songredheart,1
twelve years ago,1
alive,1
legend listening song two thousand twenty-two,1
baby,0
justmanfyi unlocled thevquizzyes see delayshourglassnotdonehourglassdonepignosehighheeledshoewoman ssandalheavydollarsign,0
anyone two thousand twenty-two,1
need listen,1
want chill listen songsmilingfacewithhearteyesredheart,1
12years passed still get master piece hundredpoints,1
love music,1
die hard death metal old school hiphop listener hypocrite liking justin bieber songs feel like sia adele one direction guilty pleasures som1 please respond hope grinningfacewithsweatgrinningfacewithsweat,0
time flies,1
leasing song end two thousand twenty-two december old memories wish justin bieber something like songs future,1
newindependents artists downarrowdownarrowdownarrowdownarrow,1
listening still two thousand twenty-two,1
love frome bangladesh,1
justin bieber best celebrity hands,1
best things dude never takes credit achieves something always respect us audience team always polite video congratulate achievement come everything comewinkingface,1
even grandma knows song,1
love song,1
garbage,0
obsessed,0
india india 1st english song,1
keren jir,1
class five back twelve years ago crush girlfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyya know young even know crush means kidfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoywe school annual function group dance including common frnds song heared first time thereall childhood days school memories rehearsalsthose laughters dance failsfacewithtearsofjoyfacewithtearsofjoythose group hugs feel nostalgic whenever hear songseems like everything happened yesterday time fliesslightlysmilingface,1
fabulous song relive sweet beautiful best childhood life two thousand ten watch blockbuster song smilingfacewithsunglassessmilingfacewithheartsthumbsupokhandvictoryhandredheartbeatinghearttwoheartssparklingheart,1
love,1
song still lives popularity smilingfacewithopenhands,1
belieber,1
indian,1
jada love twohearts,1
clappinghandsclappinghandsclappinghandsclappinghandssmilingfacewithhearteyes,1
favorite song justin forever redheartredheart,1
justin justin,1
else saw drake video okhand,1
twelve yrs later still masterpiece,1
love love,1
really get motivated listen justin bieber rosesmilingfacewithhearts,1
songheartonfire,1
boring,0
first time see drake one hundred fourteen min,1
baby oooooosmilingcatwithhearteyessmilingcatwithhearteyes,1
baby good baby baby hohoho today,1
let leave comment hopefully come back,1
revolvingheartsrevolvingheartsrevolvingheartsrevolvingheartsrevolvingheartsrevolvingheartsrevolvingheartsheartdecoration,1
still love master pieceredheartpakistanfrom teenage till thirteen years,1
kid preying grown woman retrospect like wait,0
honest peoples hate bad,1
like,0
love justin victoryhandredheart,1
one hundred five thailand still baby baby noooo,0
andmynametangela,1
come finemeok,1
ilove,1
boy looking young small girl anyway cute voice awesome like lyrics listened childhood grinningcatwithsmilingeyessmilingfacewithhearteyes,1
beeep boooop beeep,0
woke video,1
one hundred fourteen one hundred twenty-one drake facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy,1
believe masterpiece owned world till onsmilingfacewithhearteyesstarstruck,1
love music love justin bieber favorite idol,1
listening song two thousand twenty-three love replysmilingfacewithhearteyessmilingfacewithhearteyes,1
still twelve years later still love song loved kidredheart,1
would like called ludo instead ludacris calling jb really make mad,0
india hairs colour dark blonde due baby song friends started callin jb hated hatered went barber got haircut,0
good,1
waw nepal nepal love,1
broo first love broke heart first time,1
song never gets old love love songpleadingfacesparklessparkles,1
asian 2022redheartredheartredheart,1
love bay justin myanmarburma,1
watching lezend song two thousand twenty-two,1
victoryhandokhandthumbsupbangladeshbangladesh,1
purpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheartthumbsupthumbsupsmilingfacewithsmilingeyessmilingfacewithsmilingeyes,1
one indexpointingup,1
song never oldgrowingheartstarstruckflushedface,1
like,0
one two thousand twenty-two,1
drake always randomly video,1
masterpiece first english song heard two thousand twenty time liked song 2years today heard song totally love song listen three times redheart love indiasparklingheart,1
baby baby baby ahhhhhhhexplodingheadexplodinghead,1
tamil audience two thousand twenty-two,1
two thousand twenty-two time travel,1
love jb lot heartsuitheartsuit,1
one hundred twenty-one drake,1
miss song scene two thousand ten loudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingface,0
goodcryingfacecryingfacecryingfaceredheart,1
twelve years passed still get masterpiece pleadingface,1
ha disliked vid youtube,0
music since three years old fourteen years old,1
love songsparklingheartsparklingheartsparklingheart,1
youtube prorel songs jbredheartstarstruck,1
justin beiber vs michael best,1
would go friend house baby,1
best best still love itsmilingfacewithhearteyes,1
really takes back,1
remember watching 3rd grade thinking cute ahhh,1
bro gives memories back day five years old eight years oldsadbutrelievedface,1
aww,1
two thousand twenty-two almost two thousand twenty-three also love song much,1
like song much found celebrity crush gf today really sad listening song feel better,1
song clover cage make difference two songs keeping sane tough times want send love everyone want everyone know things get better together love youwhiteheartsmilingfacewithsmilingeyes,1
suddenly feeling like listening song gain energy memory back,1
epic,1
actor good vs dancer best,1
wearing socks girl,0
justin bieber baby brasil,1
classic denay iconic,1
song finally likes dislikes,1
fucking song shit,0
childhood favourite song still love beatingheart,1
14m thumbsdown2022,1
best part song three hundred thirty-eight,1
drake funny,1
miss old justin bieber,0
two thousand twenty-two facewithtearsofjoy,1
people made twelve million dislikes badskull,0
see dislikes,0
one hundred fifteen drake youfacewithtongue,1
please like commentbeamingfacewithsmilingeyesbeamingfacewithsmilingeyes,0
came show four year old new haircut looks like lol,1
heartsuitheartsuitheartsuitheartsuitheartsuitheartsuitheartsuitheartsuit,1
justin bieber girlfriend johnny orlando vs big time rush girlfriend music battle tag team ft big time rush music challenges,1
grew together,1
nice,1
oohwhoaohohohoh ohoohwhoaohohohoh ohoohwhoaoh ohohohoh know love yo know care uhhuh shout whenever yo uhhuh love yo heart uhhuh never ever ever apart yo uhhuh item yo girl quit playin uhhuh friends yo sayin uhhuh said another yo looked right eyes uhhuh first love broke heart first time like yo uhhuh baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine oh would done whatever uhhuh believe together yo uhhuh want play cool yo losin uhhuh buy anything yo buy ring uhhuh pieces yo baby fix uhhuh shake til wake bad dream yo uhhuh going oh uhhuh believe first love around like baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine luda thirteen first love nobody compared baby nobody came us could ever come going crazy oh starstruck woke daily need starbucks woo made heart pound skip beat see street school playground really want see weekend knows got dazin amazin heart breakin keep sayin baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine baby baby baby oh like baby baby baby like baby baby baby oh thought always mine mine gone yeah yeah yeah yeah yeah yeah gone yeah yeah yeah yeah yeah yeah gone yeah yeah yeah yeah yeah yeah gone gone gone gone gone,1
first english song heard two thousand seventeen,1
wth drake,0
mera pehla english song redheartjiske baad maine english gane sunna start kiagrinningfacewithsweat,0
forty-six sweet song play 8yo daughter hi chile fourleafcloversparkles,1
legend watch twelve months smilingfacewithhorns,1
indian smilingfacewithsunglassessmilingfacewithsunglassessmilingfacewithsunglassesindiaindiaindiaindiaindia,1
still favorite song,1
believe justin beiber famous age amazing great voice smilingcatwithhearteyessmilingcatwithhearteyes loved song much redheartsmilingfacewithhearteyes,1
peoples disliked masterpiece hahahaha,0
time internet new,1
everytime pewds posts video day gets better honestly,1
12years grinningfacewithsweat,1
listing bangladesh two thousand twenty-two smilingfacewithhearteyes,1
"twenty million , one hundred twenty-two thousand twenty-two fv song",1
good thumbsup job,1
back childhood memories redheartsmilingfacewithsmilingeyessmilingfacewithsmilingeyes one two thousand twenty-two december one,1
call maybe carly rae jepsen vs baby justine bieber best song ever,1
drake two hundred two,1
time favourite track,1
twelve years passed still gives goosebumps redheart,1
drake video,0
look back,1
sanishanelljarceo,1
full video admiring justin face faceblowingakiss,1
418pm one december 2022love india blackheart,1
yo justin listen haters keep songs,0
rewatching,0
yeah,1
fav time boss love bangladesh,1
love india indiaindiaindiakaniyakumari desertislanddesertislanddesertisland tamilanadu,1
give like listening song two thousand twenty-two,1
song sweet,1
beybe,1
smoke weed song feels like went back two thousand ten better yet hit wax pen facewithtearsofjoy,1
end two thousand twenty-three going 3b views,1
frst love jobredheart,1
wow two hundred crore likes favourite song always watched video vh one highschool days wow amazing justine favourite year love nagaland state india,1
certified classic,1
song popular,1
one commenting tinashe drake one hundred fourteen,0
drake post,1
twenty-five remember came cool thing guy hate justin bieber singing alone house,0
want say song awesome next generationsmilingfacewithhearteyes,1
still wonder people laugh songthis masterpiece heartsuit,1
two thousand twenty-two listening,1
many dis likes song,1
coolbeamingfacewithsmilingeyes,1
member comment reading association cra read comments please keep comments short simple appreciate typing effort also please watch spelling thank great day,1
give rate,1
best,1
"forty-four song makes remember feeling girl back one thousand , nine hundred ninety fuckin love want call belieber guess take probably grow",1
anyone notice drake nailpolish one hundred fourteen,1
tec,1
baby baby ohhh smilingfacewithsmilingeyes,1
trinity destiny love redheart,1
forty-eight million comments found mine legend soldier militaryhelmet,1
ears,0
song brings back memories addicted hearing,1
dad said supposed right covic get hulusenstions,0
got lot pictures even thought together meet hang sometime pleace think,1
oq,1
yesss woo slay justin,1
wow went peaches grew much,1
song favorite yeah big fan justin bieber,1
love mom loves,1
twenty-eight milliards hushedfaceworriedface,0
came dislike comment,0
luck high school always listen masterpiece,1
wow facewithopenmouth still trend till date redheart legend smilingfacewithsmilingeyes,1
first like girl justin wants kiss many people wold like opportunity like think youre long,1
drake wtf,0
ohh cringe cute,0
sparklingheartgrowingheartgrowingheartgrowingheartgrowingheartgrowingheartgrowingheartgrowingheartgrowingheartstarstruck,1
funny people actually made fun song,1
beat rap verse first verse bad lyrics otherwise cringey voice overlook somewhat,0
thierteen frist lovehearthandslightskintonerevolvingheartsrevolvinghearts,1
forty white boy rizzfacewithopenmouth,0
things always skipped watching unemployed kid singing,0
realize deep sad song,0
justin bieber lana rhoades collab youtube babygrinningfacewithbigeyes two thousand twenty-two,0
55zx,0
college days song,1
nicebangladeshbangladeshbangladeshbangladeshbangladeshbangladeshbangladeshbangladeshbangladeshbangladeshbangladeshbangladeshloveyougestureloveyougestureloveyougesture,1
te amooooooooooooooooo,1
pieces baby fix shake til wake bad dream,0
realized drake years xd,1
song made emotionjustine child song heartwhiteheartsparkles,1
tell us age vs,1
gghhg,0
first english song first english singer know name childhood memories class 9th song realised,1
one million decate song birthday,1
ever hate,0
friends saying,1
hjj,1
best song best sing smilingfacewithsmilingeyesredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheart,1
daaaaaaaaaaaaaaaaam,0
good,1
dude make faith return democracy,1
childhood first english song redheartredheart,1
wonder people hated,0
girl name,1
coming back two thousand twenty-two legends,1
song still trash,0
search old song search old memories,1
beatingheartbeatingheart,1
girls fan people world fan era,1
ellosmilingfacewithsmilingeyes,1
"twenty million , two hundred twenty-one thousand , one hundred thirty redheartredheartredheartredheart uff song smilingfacewithsmilingeyescrossedfingers",1
forty-eight million comments find mine god bless,1
released born,1
love song redheartredheart,1
fifty-six two thousand twenty-two december redheart,1
louis hunter looks like donny,1
forty-eight million comments found mine legend,1
make comment top please,1
wow graetcanada,1
like sg,1
hello happy still alive moai,1
song released seven years old nineteen year fabulous song musicalnotesand song always heart redheart,1
yo congrates twenty-eight billion views,1
wowsmilingfacewithsunglasses,1
like justin bieber,1
fav song smilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyes,1
always gets us back childhood memoriesbutterfly,1
baby baby baby oooh likeredheartredheart,1
love form south asian country bangladesh bangladesh,1
video 12m dislikes know 2b views man 12m dislikes disliked song sorry fault,0
life redheart,1
hooooo,1
bitches,1
twelve years passed still people listening masterpiece,1
jazz class last year recital remember dance heart loudlycryingface,1
wow hes become legend 12b views wait two thousand twenty-two bet reading two thousand twenty-three,1
mmmmmmmmmmm love,1
op song justin bieber crownblackheartvictoryhand,1
classic lolzsquintingfacewithtonguesquintingfacewithtongue,1
blossom,1
come memes song,0
everyone hate song,0
justin bieber cute teenage years sneezingfacesmilingfacewithhearteyes,1
song hype back disliked loudlycryingface,0
song old rollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughing,0
girl babysit wanted listen,1
everyone,0
think pewds transforming angry italian chef,0
justin bieber blessed haters lovers please let us trust songs,1
love smilingfacewithhearteyes growingheart yellowheart beatingheart heartsuit sparklingheart smilingfacewithhearteyes,1
khael,1
twelve loved song still,1
knew drake video,1
hate,1
song moonwalk way school2009cryingface,0
crazy much dislikes mv,0
fourth population planet seen,1
sorry ladies guys would understand justin point song agree guys let blow,0
osm,1
still listen song day stopped loving redheart,1
smilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyesbeamingfacewithsmilingeyesbeamingfacewithsmilingeyesbeamingfacewithsmilingeyeszanyfacezanyfacezanyfacezanyface,1
think comment toogrinningfacewithsweat,1
liked youtube video baby disliked youtube video baby massive influence raisinghandsheartsuit,1
twenty-two,1
note watching fifa wold cup tour two thousand twenty-two,1
"twelve years ago 12th class listened song 1st time friend home song playing youtube dapic brand speakers understand lyrics information song singer etc enjoying music felt proud best friend started listening english songs used play hindi songs mp3 format nokia three thousand , one hundred ten classic phone days awesome redheartfaceholdingbacktears writing comment eyes filled water miss old days",1
define justin one word baby,1
hearing song remember old memories,1
worst song ever,0
love pakistan pakistan,1
twelve years ago still listening legendredheart,1
sorry lick ten year lite redheartredheartredheart plz mind tl sadbutrelievedface,1
bababsbababababababababababbababa,1
anyone mid november two thousand twenty-two,0
throwback sixteen kid took whole freakin world,1
love justin biber number one fan redheartredheartredheartredheartredheartredheartredheartredheartredheartredheart notice please twoheartstwoheartstwoheartstwoheartstwoheartstwohearts justinbieber lovejustinbieber justinbieberforever,1
rapper,1
fan fact searched songfacewithtearsofjoyfacewithtearsofjoy,1
lengends listening ending two thousand twenty-two,1
hhhhhh,0
love itsparkles,1
ooooooomaga,1
happy beamingfacewithsmilingeyes,1
love justin road trip,1
nostalgia generation,1
forty-eight comment find comment legend soul,1
indiaindiahow many christian watching india indiaindia,1
song remembers old memoriessmilingfacewithhearteyes,1
helo twelve years helo helo,1
two thousand twenty-two anyone,1
girl pretty cute name jasmine villegas justin ever date,1
45m comments comment winkingfacewithtongue,1
wowwwwwwwww,1
best relateble love india,1
twenty-six first time heard eighteen years young,1
watching two thousand twenty-two,0
feleeng good saw dislikes facewithtearsofjoyfacewithtearsofjoy,1
think legend,1
watching video 2022faceblowingakissfaceblowingakiss,1
like make remember masterpiece,1
smilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartsfaceblowingakissfaceblowingakissfaceblowingakissfaceblowingakissfaceblowingakissfaceblowingakisshotfacefacewithtonguefaceblowingakissstarstrucksmilingfacewithhearteyessmilingfacewithheartssmilingfacewithheartssmilingfacewithhearts,1
memories recollecting head cute,1
worst,0
one best singer life,1
never gets oldblossom,1
forty-eight lakhs comments found mine legend beamingfacewithsmilingeyes,1
one find comment,0
grinningsquintingfacebrokenheart,0
love india heartexclamation,1
loudlycryingfaceredheartredheartredheartredheartredheart,0
always masterpiece,1
nice video,1
justin bieber love sri lanka srilankaredheart,1
come brazil,1
sorry ran,0
please watch 2x speed starting two hundred forty-two end hilarious,1
cultural reset,1
"hope enjoy skip one thousand , nine hundred fifteen see justin bieber said",1
bro sing hole thing middle school lot kids got jealous,0
ngl peak,1
favorite song smilingfacewithhearteyes,1
listen song twenty four seven,1
iii love songgg,1
two thousand twenty-two,0
awsome,1
never knew drakeee music vid wow prime drake starstruck,1
know going say good song,1
love love justin,1
remember hated much song,0
never realize drake two hundred two,1
qe fgay,1
still listening song thumbsup,1
still listening thinking old memories dancing,1
never knew drake lil twist video weird,0
found worlds hated song ever people hate fucking phycos ps hate song winkingface,0
song sick man12 years ago like bruh,0
understand chinese english maybe,0
hate song came 2000s nostalgia time flies fast,0
listening enter two thousand twenty-three mirrorball,1
victoryhandvictoryhandvictoryhandvictoryhandvictoryhandvictoryhand,1
life good justin wrote song,1
lovee biber,1
else noticed clapping distance talkin audio,1
alex done loves justin bi,1
spanish,0
ayo,1
twelve yrs later still worst song,0
video older fortnite players donut,0
thumbsupraisinghandsheartsuitpersonraisinghandpersonrunning,1
getting vibe masterpiece december two thousand twenty-two,1
iove song,1
cool song like like get girlfriend girlfriend,1
really eight listening hoeloudlycryingface like man justin really man dude hoes,0
twenty-eight november two thousand twenty-two hadirrrrrrr firefirefire,0
aw thought awful way like love song backhandindexpointingdown,0
three years old song released fast forward eighteen whenever listen song feel like back childhood days loudlycryingfacebrokenheartwomantippinghandlightskintone,1
justin looks young video looks like twelve years old,1
childhood memories song erafacesavoringfoodredheart,1
cutesmilingfacewithheartssmilingfacewithheartssmilingfacewithhearts,1
listening song phone started hanging also,0
elementary school disco lived,0
chorus actually slaps,0
removed corny woah intro song would tolerated,0
"pov listening song november two thousand , one hundred twenty-two",1
canadian music justin bieber singergrinningfacewithbigeyesgrinningfacewithbigeyesgrinningfacewithbigeyesgrinningfacewithbigeyesgrinningfacewithbigeyes,1
hate made nostalgic,1
chad scene hundredpoints ruling music industry 2g 5g fire,0
one hundred fourteen yo drake,1
youtuber said hated song like wym,0
cute girl like,1
still watching today,1
like legend peopleonly,1
faceblowingakissfaceblowingakissfaceblowingakissfaceblowingakissfaceblowingakiss,1
baby song forty-eight comments heartsuit 22m likes heartsuit twenty-eight views heartsuit amazing heartsuit,1
anybody two thousand twenty-two,1
listening song still november 2022they legend,1
millions comments found mine legend,1
listening song still december 2022they legend,1
like much idol,1
song dislike youtube,0
god song sweet crazy twelve years ago year two thousand twenty-three,1
congratulations twelve million dislikes moaithumbsuplightskintone,0
kind music wish could still hear clubs two thousand twenty-two still,1
short,0
many legend see two thousand twenty-two facewithmonoclefacewithmonocle,1
top,1
hiiiiiii facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy,1
really became hated song timefacewithtearsofjoyfacewithtearsofjoy,0
forty-eight million comments top,1
versatile song justin always favorites song redheartredheartredheart,1
twenty-two million likes video still like comment,1
still know drake video facewithtearsofjoy,0
wwwwwwwwwwwwwwww,1
big,1
forty-eight million comments found mine legend,1
explodingheadenragedfacestopsignraisedhand,1
song favourite since yrssmilingfacewithhearteyes doubt song one popular among jb songssmilingfacewithhearteyes killed itsmilingfacewithhearteyesdizzy,1
guys fairy cam understand girlfriend crying foxeti flo xd,1
babybaby,1
babybaby,1
awesome song loved itredheartfaceblowingakissfaceblowingakiss,1
man legend matter many people godredheartredheartredheartredheart,1
still watching 202228nov,1
hated song old enough comment hate song like delete stupidfacewithrollingeyes,0
lengends listen song two thousand twenty-two,1
2010smilingfacewithhearts,0
way dances cringy,0
brayan brayan brayan,1
wtf facevomiting,0
telll watching jb videos three skulltiredface,0
eight ras,1
old earphone still alive song,1
fuck drake skullskullskullskullskull,0
love justin bieber much come minnesota,1
find show,1
love songredheart,1
love music,1
bibibibi oooooooooo like bibi ooooooo,1
song flings back era classic memes pre2010,1
everyone forgets michael jackson pleadingface,0
thumbsupthumbsupthumbsupthumbsupthumbsup,1
hi moai two thousand twenty-three mechanicalarm,1
maucaylyn love,1
twelve years old still hear baby baby oohh,1
still horrible,0
cade os meus br brazilbrazil,0
rap reminds cat video awesome,1
nostalgic song heartexclamation,1
use dislike button,0
remember video used get lot dislikes,0
justin barber nailed,1
sad song loudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingfacetwohearts,0
fucking song get head,0
nonsense song,0
knock plz,0
bruh hated song like song though though lol,0
noticed drake video eyes,1
listening song gives nostalgia realredheart,1
theres48 milllion comments fouod mine legendagrinningfacewithbigeyes,0
looks like still good style songs,1
nostalgic back 2010philippinesphilippines,1
sad many grown ass men hated age boy,0
twelve years song still get head heart,1
gives enjoy time,1
hi redheart sons,1
song featured school gathering still remember dancing song yeah song catchy honest haha,1
whenever listen song feel like heaven redheartredheartso much pleasure feeling listen song raisinghands song never old,1
hey guys wavinghand india india love song smilingfacewithhearteyes two thousand twenty-two still favourite heartsuit old gold 1stplacemedal,1
first love broke heart first time,1
love song lmaoits stuck head fr,1
smilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyesfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyunfortunately intention,0
leaving comment someone likes remind songredheart,1
bowling clip iconic never bowling imagined baby clip,1
miss grade six first heard,0
favorite songkissingfacewithsmilingeyesheartsuit,1
let see many november two thousand twenty-two,1
two thousand twenty-two legendsmilingfacewithhearteyes,1
old gold 1stplacemedal,0
justin baby baby bar bar kahy ok tonny kahy ok hahahaahha,0
omg voice like super star smilingfacewithhalo,1
song twenty-two million like one knows fifteen millions dislike,0
forty-eight million comment found mine legendredheart,1
twenty-seven november two thousand twenty-two let us see many legends listening masterpiece far one popular songs ever even twelve year,1
king crown,1
singer amazing legend ever,1
approximately ten comment one hour twelve years legend,1
millions one commented today smilingfacewithsunglasses,1
even baby yet,0
funny fact beiber looked like twelve sang actually fifteen,1
two thousand twenty-two still listening song yeah,1
justin bieber would one,1
sorry song annoying,0
would cool marzia told recipe stepbystep italian follow,1
pleadingfacepleadingfacepleadingface hrt beat,1
nostalgia loudlycryingfaceloudlycryingfaceloudlycryingface,0
miss songsmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithhearts,1
bruh people still coming back,0
dilpreeet kaur,1
february twenty-two wednesday,1
wtf drake one hundred fifteen,0
got onest best song every heard bet hard,1
two thousand twenty-two shushingfaceshushingface,1
young really well good singing love music,1
one hundred twenty-one yo really drake,1
goat song list going top five,1
song disliked song seven years back,0
hey five million comments found mine legend,1
shock many new commentjust wow,1
14m dislikes crazy,0
worlds worst song heard life still stuck head,0
literally three years old still could remember song like bro could remember sorry baby played universal studios themepark tiredface edit mean three years old song released twelve years time flies,1
rocks,1
song reminds teenage years first love first heart break beauty young memories always carry,1
tiktok give like lolz,1
goes hard rocket,0
anymore two thousand twenty-two,0
hearing old going bros ten,0
school quiet second concentrated lesson someone goes oohh aahh nailpolish,1
forty-eight million comments found mine true song addicted heartsuit,1
five remember always thanks foldedhandsthumbsup,1
anyone else also realizing drake mv,0
song emotionsthe best era life hundredpointssparkles,1
still love song day,1
brooooooo cringefacewithtearsofjoyrollingonthefloorlaughingrollingonthefloorlaughing,0
search old songs search old memories redheart,1
song twelve million dislikes,0
hi justin big fan song,1
people disliking,0
two thousand twenty-two two thousand ten souvenirs souvenirs redheart,1
twenty-two million likes fourteen million dislikes interesting,0
miss music,0
love justin bieberredheart,1
anyone fourteen yearsclinkingglassespleadingface,1
whi two thousand fifty facescreaminginfearvictoryhand,0
today years old found drake video one hundred fifteen,0
woww amazing 48m comments justin really legend,1
good song,1
nice song love,1
song listen ear childhood today found song happy twoheartssmilingfacesmilingfacewithsmilingeyestwohearts,1
oooh yeah,1
think ruined life guys,0
nice song,1
favorite songs still two thousand twenty-two,1
forty-eight million comments found mine legend,1
late two thousand twenty-two still,1
twenty-eight md vu,0
drake song,1
2b views highvoltagefacescreaminginfear,0
omg love justin lolfacewithtonguefacewithtonguekissingfacewithsmilingeyes,1
perfect,1
fire justin bro fire,0
forty-eight million comment found mine real leagend,1
favorite child times justin really likable idol around world,1
watching since sixty-five years loudlycryingfacebrokenheart,0
v deo amazing perfect,1
song reason youtube removed dislikes number,0
wow like songsmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyes,1
baby baby baby oh ahhh twoheartskissingfacewithclosedeyes,1
